Netflix,Hulu,Prime Video,Disney+,Type,Runtime,IMDb,Threshold
0,0,1,0,0,89,2.3,0
0,0,1,0,0,79,2.3,0
0,0,1,0,0,78,2.3,0
0,0,1,0,0,73,2.3,0
0,0,1,0,0,85,2.3,0
0,0,1,0,0,87,2.3,0
0,0,1,0,0,86,2.3,0
1,0,0,0,0,,2.4,0
1,0,0,0,0,122,2.4,0
0,0,1,0,0,87,2.4,0
0,0,1,0,0,94,2.4,0
0,0,1,0,0,88,2.4,0
0,0,1,0,0,88,2.4,0
0,0,1,0,0,93,2.4,0
0,0,1,0,0,87,2.4,0
0,0,1,0,0,65,2.4,0
0,0,1,0,0,86,2.4,0
0,0,1,0,0,88,2.4,0
0,0,1,0,0,86,2.4,0
0,0,1,0,0,92,2.4,0
0,0,1,0,0,83,2.4,0
0,0,1,0,0,89,2.4,0
0,0,1,0,0,113,2.4,0
0,0,1,0,0,119,2.4,0
0,0,1,0,0,100,2.4,0
0,0,1,0,0,94,2.4,0
0,0,1,0,0,79,2.4,0
0,0,1,0,0,95,2.4,0
0,0,1,0,0,80,2.4,0
0,0,1,0,0,86,2.4,0
0,0,1,0,0,94,2.4,0
0,0,1,0,0,88,2.4,0
0,0,1,0,0,94,2.4,0
0,0,1,0,0,86,2.4,0
0,0,1,0,0,80,2.4,0
0,0,1,0,0,91,2.4,0
0,0,1,0,0,87,2.4,0
0,0,1,0,0,107,2.4,0
0,0,1,0,0,,2.4,0
0,0,1,0,0,80,2.4,0
0,0,1,0,0,82,2.4,0
0,0,1,0,0,85,2.4,0
0,0,1,0,0,75,2.4,0
0,0,1,0,0,106,2.4,0
0,0,1,0,0,91,2.4,0
0,0,0,1,0,74,2.4,0
1,0,0,0,0,58,2.5,0
1,0,0,0,0,83,2.5,0
1,0,0,0,0,135,2.5,0
1,0,1,0,0,130,2.5,0
0,1,0,0,0,84,2.5,0
0,1,1,0,0,86,2.5,0
0,0,1,0,0,86,2.5,0
0,0,1,0,0,88,2.5,0
0,0,1,0,0,83,2.5,0
0,0,1,0,0,105,2.5,0
0,0,1,0,0,88,2.5,0
0,0,1,0,0,85,2.5,0
0,0,1,0,0,96,2.5,0
0,0,1,0,0,91,2.5,0
0,0,1,0,0,87,2.5,0
0,0,1,0,0,72,2.5,0
0,0,1,0,0,83,2.5,0
0,0,1,0,0,85,2.5,0
0,0,1,0,0,153,2.5,0
0,0,1,0,0,93,2.5,0
0,0,1,0,0,76,2.5,0
0,0,1,0,0,89,2.5,0
0,0,1,0,0,85,2.5,0
0,0,1,0,0,81,2.5,0
0,0,1,0,0,98,2.5,0
0,0,1,0,0,104,2.5,0
0,0,1,0,0,87,2.5,0
0,0,1,0,0,81,2.5,0
0,0,1,0,0,96,2.5,0
0,0,1,0,0,82,2.5,0
0,0,1,0,0,72,2.5,0
0,0,1,0,0,89,2.5,0
0,0,1,0,0,91,2.5,0
0,0,1,0,0,102,2.5,0
0,0,1,0,0,101,2.5,0
0,0,1,0,0,98,2.5,0
0,0,1,0,0,80,2.5,0
0,0,1,0,0,102,2.5,0
0,0,1,0,0,89,2.5,0
0,0,1,0,0,93,2.5,0
0,0,1,0,0,81,2.5,0
0,0,1,0,0,89,2.5,0
0,0,1,0,0,82,2.5,0
0,0,1,0,0,55,2.5,0
0,0,1,0,0,74,2.5,0
0,0,1,0,0,94,2.5,0
0,0,1,0,0,76,2.5,0
0,0,1,0,0,93,2.5,0
0,0,1,0,0,114,2.5,0
0,0,1,0,0,84,2.5,0
1,0,0,0,0,103,2.6,0
1,0,0,0,0,78,2.6,0
1,0,0,0,0,88,2.6,0
1,0,0,0,0,100,2.6,0
1,0,1,0,0,120,2.6,0
0,1,0,0,0,102,2.6,0
0,0,1,0,0,84,2.6,0
0,0,1,0,0,100,2.6,0
0,0,1,0,0,93,2.6,0
0,0,1,0,0,95,2.6,0
0,0,1,0,0,89,2.6,0
0,0,1,0,0,90,2.6,0
0,0,1,0,0,117,2.6,0
0,0,1,0,0,83,2.6,0
0,0,1,0,0,85,2.6,0
0,0,1,0,0,118,2.6,0
0,0,1,0,0,97,2.6,0
0,0,1,0,0,86,2.6,0
0,0,1,0,0,99,2.6,0
0,0,1,0,0,80,2.6,0
0,0,1,0,0,95,2.6,0
0,0,1,0,0,90,2.6,0
0,0,1,0,0,81,2.6,0
0,0,1,0,0,90,2.6,0
0,0,1,0,0,86,2.6,0
0,0,1,0,0,93,2.6,0
0,0,1,0,0,86,2.6,0
0,0,1,0,0,108,2.6,0
0,0,1,0,0,74,2.6,0
0,0,1,0,0,85,2.6,0
0,0,1,0,0,90,2.6,0
0,0,1,0,0,90,2.6,0
0,0,1,0,0,,2.6,0
0,0,1,0,0,75,2.6,0
0,0,1,0,0,90,2.6,0
0,0,1,0,0,81,2.6,0
0,0,1,0,0,90,2.6,0
0,0,1,0,0,88,2.6,0
0,0,1,0,0,86,2.6,0
0,0,1,0,0,80,2.6,0
1,0,1,0,0,112,2.7,0
1,0,0,0,0,73,2.7,0
0,1,1,0,0,101,2.7,0
0,0,1,0,0,91,2.7,0
0,0,1,0,0,81,2.7,0
0,0,1,0,0,87,2.7,0
0,0,1,0,0,95,2.7,0
0,0,1,0,0,63,2.7,0
0,0,1,0,0,94,2.7,0
0,0,1,1,0,101,2.7,0
0,0,1,0,0,90,2.7,0
0,0,1,0,0,81,2.7,0
0,0,1,0,0,82,2.7,0
0,0,1,0,0,89,2.7,0
0,0,1,0,0,76,2.7,0
0,0,1,0,0,89,2.7,0
0,0,1,0,0,78,2.7,0
0,0,1,0,0,86,2.7,0
0,0,1,0,0,87,2.7,0
0,0,1,0,0,76,2.7,0
0,0,1,0,0,80,2.7,0
0,0,1,0,0,95,2.7,0
0,0,1,0,0,82,2.7,0
0,0,1,0,0,86,2.7,0
0,0,1,0,0,87,2.7,0
0,0,1,0,0,75,2.7,0
0,0,1,0,0,89,2.7,0
